900,628,50,87,10.2
900,653,50,34,10.2
900,755,50,3,10.2
900,861,50,5,10.2
900,945,50,4,10.2
900,900,50,4,10.2
900,787,50,4,10.2
900,697,50,46,10.2
900,601,50,65,10.2
900,600,50,71,10.2
900,610,50,10,10.2
900,721,50,78,10.2
900,838,50,86,10.2
900,838,50,87,10.2
900,838,50,86,10.2
900,838,50,86,10.2
900,837,50,89,10.2
900,838,50,88,10.2
900,837,50,88,10.2
900,839,50,86,10.2
900,838,50,88,10.2
900,838,50,88,10.2
900,838,50,89,10.2
900,839,50,164,10.2
900,838,50,89,10.2
900,837,50,86,10.2
900,839,50,109,10.2
900,839,50,106,10.2
900,838,50,164,10.2
900,838,50,164,10.2
900,836,50,96,10.2
900,838,50,102,10.2
900,837,50,163,10.2
900,837,50,163,10.2
900,839,50,163,10.2
900,838,50,103,10.2
900,838,50,104,10.2
900,837,50,163,10.2
900,838,50,98,10.2
900,838,50,97,10.2
900,837,50,163,10.2
900,837,50,115,10.2
900,839,50,163,10.2
