900,435,50,164
900,443,50,163
900,442,50,163
900,523,50,118
900,631,50,69
900,751,50,59
900,875,50,166
900,985,50,160
900,1043,50,111
900,1112,50,166
900,1305,50,103
900,1379,50,109
900,1311,50,95
900,1155,50,166
900,919,50,92
900,636,50,166
900,547,50,164
900,677,50,165
900,1037,50,166
900,1386,50,165
900,1602,50,164
900,1708,50,164
900,1720,50,164
900,1671,50,164
900,1528,50,164
900,1328,50,165
900,1009,50,165
900,701,50,166
900,487,50,164
900,499,50,164
900,725,50,166
900,1089,50,166
900,1489,50,165
900,1695,50,164
900,1814,50,164
900,1835,50,164
900,1793,50,164
900,1683,50,131
900,1469,50,164
900,1182,50,76
900,833,50,60
900,570,50,106
900,440,50,163
900,539,50,164
900,839,50,125
900,1034,50,166
900,1037,50,96
900,1035,50,115
900,1006,50,110
900,965,50,166
900,952,50,166
900,944,50,166
900,892,50,166
900,893,50,166
900,897,50,165
900,895,50,166
900,881,50,99
900,885,50,165
900,862,50,166
900,863,50,166
900,898,50,166
900,917,50,166
900,918,50,166
900,920,50,166
900,924,50,166
900,916,50,166
900,920,50,166
